stationID,site,study_area,Vegetation,camera,Block,SD,Year,xcoord,ycoord,Runtime,start,end,badger,boar,cats,dog,fox,marten,mouseweasel,racoon,stoat,allpredators,allpredators_without_dogs,badger_100,boar_100,cats_100,dog_100,fox_100,marten_100,mouseweasel_100,racoon_100,stoat_100,allpredators_100,allpredators_without_dogs_100,Wood_Dist,Water_Dist,Settl_Dist,Edge_Dist,Road_Dist,Wood_Area_500m,Ext_Area_500m,Arable_Area_500m,Settl_Area_500m,Water_Area_500m,Edge_Area_500m,Road_Density_500m,Border_Length_500m,Hab_Div_500m,Mean_Field_500m,Water_Area_1km,Water_Area_2.5km,Settl_Area_1km,Settl_Area_2.5km,Forest_Area_500m,Forest_Area_1km,Forest_Area_2.5km,Arable_Area_1km,Arable_Area_2.5km,Grass_Area_500m,Grass_Area_1km,Grass_Area_2.5km
D_B1 1 1 1 S19,D_B1,D,B,1,1,1,S19,565309.8725,5705259.016,29359,03/05/2019 10:58,23/05/2019 20:17,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,14.71439763,0,0,0,0,14.71439763,14.71439763,28.13087963,307.9475982,303.5004991,20.96520277,291.6105001,0.839563309,3.851003089,67.41901412,2.077996708,0.586973155,4.897318094,0.879199738,13.63369227,1.84494092,26383.81698,1.408334939,25.83175404,7.650293585,300.3553455,0,0.018704041,34.60664011,264.6907029,1290.977912,0,11.02833694,123.8656723
D_B1 45 42 2 S20,D_B1,D,B,45,2,42,S20,565320.62,5705330.34,30085,23/05/2020 14:00,13/06/2020 11:25,0,0,0,1,3,0,0,1,0,5,4,0,0,0,4.786438424,14.35931527,0,0,4.786438424,0,23.93219212,19.1457537,24.89093603,362.0653444,308.8666755,16.35202808,305.4915296,0.704450511,3.367675063,68.76887157,1.261742137,0.49284049,4.841051933,0.868675941,13.35946607,1.779240519,25530.34143,1.367198801,25.8011718,8.209544671,317.9011958,0,0,33.65598259,262.3371214,1272.610411,0,11.55412934,125.3704864
D_B2 15 52 2 S19,D_B2,D,B,15,2,52,S19,567028.412,5705717.409,31702,22/05/2019 09:39,13/06/2019 10:01,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,18.16920068,0,18.16920068,18.16920068,16.97085967,1614.463214,561.8897917,16.03188153,663.4407241,9.884354504,11.16602704,56.91473281,0,0,2.973256479,0,11.4991834,1.767218435,32290.03451,0,4.478744947,6.129925975,397.5210809,0,0,221.3580889,242.6029325,1057.581113,5.342866946,24.94950713,131.7047867
D_B2 21 45_4 4 S20,D_B2,D,B,21,4,45_4,S20,567090.8795,5705744.817,33310,06/07/2020 11:30,29/07/2020 14:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.05995297,1613.117659,588.1314052,54.18470476,599.6700243,10.82009149,11.03582481,55.1752744,0,0,2.89780743,0,11.56159759,1.660991506,34963.35248,0,4.633185204,6.637099452,403.6676879,0,0,229.7453456,242.0153164,1040.150624,6.134378287,24.90011284,131.2477568
D_B3 16 16 1 S19,D_B3,D,B,16,1,16,S19,566879.223,5704777.894,30310,29/04/2019 15:01,20/05/2019 16:11,2,0,0,0,1,0,0,0,0,3,3,9.501814583,0,0,0,4.750907291,0,0,0,0,14.25272187,14.25272187,167.9844993,797.4456113,688.0287894,148.4674605,723.3049721,0.596875894,14.44819794,74.24720801,0,0,2.068146152,0,8.329135208,0.729986933,35273.41326,1.274736763,8.141304174,10.07129765,186.4606011,0,0,108.9522959,238.6724698,1317.003536,0.41350852,30.52167593,155.3071624
D_B3 23 13 1 S20,D_B3,D,B,23,1,13,S20,566923.4195,5704706.734,30149,29/04/2020 11:02,20/05/2020 09:31,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,9.55255564,0,0,0,0,9.55255564,9.55255564,121.2077897,737.9160795,608.7512265,94.22398385,646.4315923,0.601915498,12.82073349,74.37032034,0,0,2.000772747,0,8.440239803,1.707913302,38522.95797,1.37858573,8.82394178,13.02437837,174.9892271,0,0,106.5691046,228.2221348,1322.713883,0.306572248,34.80242294,156.7527852
D_B4 35 36 3 S20,D_B4,D,B,35,3,36,S20,566583.1364,5704348.891,23225,14/06/2020 10:55,30/06/2020 14:00,1,0,0,0,0,0,0,0,0,1,1,6.200215285,0,0,0,0,0,0,0,0,6.200215285,6.200215285,162.2658008,333.7014752,819.6819112,94.88110694,850.5053631,10.97612461,27.03579231,49.64719094,0,0.594703597,1.754839008,0,12.47690415,1.880044407,30679.0696,1.566458704,13.458193,4.011932883,147.3835607,0,6.896898254,52.72391539,226.781231,1395.842839,14.162022,37.85585717,148.5665964
D_B4 5 5 1 S19,D_B4,D,B,5,1,5,S19,566588.2059,5704385.997,32931,28/04/2019 13:07,21/05/2019 09:58,1,0,0,0,1,0,0,0,0,2,2,4.372779448,0,0,0,4.372779448,0,0,0,0,8.745558896,8.745558896,176.3173412,371.1488165,816.2574367,62.51916193,848.0530325,10.5341186,24.76642176,52.09481762,0,0.537435911,1.81119251,0,12.04566513,1.591401557,30871.43467,1.55628411,13.44702316,4.158474639,149.4384888,0,5.41628226,53.79961445,230.0902661,1397.076442,12.61198746,35.55683099,149.1098595
D_B5 15 56 3 S20,D_B5,D,B,15,3,56,S20,566149.7873,5704718.964,28755,16/06/2020 13:15,06/07/2020 12:30,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5.007824726,0,0,0,0,5.007824726,5.007824726,19.71262423,546.6472563,668.6832628,10.61561776,804.2624354,2.701808772,19.67601704,57.04658939,0,0,2.879281788,0,12.32075726,1.451035727,36645.839,1.469351859,17.17635039,1.918919746,201.2205949,0,2.524445188,45.30049067,238.559274,1358.963238,14.25645513,31.49314648,139.8817423
D_B5 2 2 1 S19,D_B5,D,B,2,1,2,S19,566149.7873,5704718.964,32950,28/04/2019 11:52,21/05/2019 09:02,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,8.740515933,0,0,0,0,8.740515933,8.740515933,19.71262239,546.6472547,668.6832672,10.6156158,804.2624398,2.701808866,18.44602881,57.2783087,0,0,2.879281763,0,12.32075729,1.417592732,36150.07317,1.469351859,17.1763502,1.918919746,201.2205944,0,2.524445211,45.30049069,239.2367666,1362.650519,13.07555502,29.78728846,140.500593
D_B6 10 52 4 S19,D_B6,D,B,10,4,52,S19,568029.6987,5703770.477,30286,10/07/2019 10:18,31/07/2019 11:04,0,15,0,0,3,0,0,0,0,18,18,0,71.32008189,0,0,14.26401638,0,0,0,0,85.58409826,85.58409826,120.546502,525.3878369,229.0449263,0.939172817,126.4077734,0.297382066,5.171096837,62.5811898,7.985329394,0,2.297222924,0.892614097,9.571750715,1.475816184,29563.17473,1.671045828,7.241871152,58.73768312,134.1182749,0,0.257446893,345.4973678,203.5351236,1136.486742,4.067473611,22.47814843,159.7097146
D_B6 12 44 1 S20,D_B6,D,B,12,1,44,S20,567961.3437,5703847.799,30128,29/04/2020 11:33,20/05/2020 09:41,1,0,3,0,1,0,0,0,0,5,5,4.77960701,0,14.33882103,0,4.77960701,0,0,0,0,23.89803505,23.89803505,101.910547,426.7641923,125.8401469,1.594446908,79.39765729,0.519693066,6.65177223,55.6831554,12.42586592,0.265663832,2.318344801,1.289459235,10.21578248,2.042267966,28046.53851,1.715427889,7.546253626,55.99720082,133.9355028,0,0.111901445,313.9347191,202.2510142,1155.18614,5.054541491,24.23299644,161.6956766
D_B7 34 4 3 S19,D_B7,D,B,34,3,4,S19,566777.8727,5703284.651,31489,12/06/2019 13:05,04/07/2019 09:54,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,45.73025501,0,45.73025501,45.73025501,32.98645673,635.4312546,626.5242179,5.918887981,421.3981169,0.227292962,4.724558935,68.99663037,0,0,2.228885502,0.316171328,9.888841951,1.363929756,31707.12324,1.497484134,15.02129622,0.85269147,157.7412351,0,32.09982532,108.7368223,188.5286561,1344.640107,4.234805076,49.79255374,144.5437596
D_B7 35 48 2 S20,D_B7,D,B,35,2,48,S20,566771.9819,5703267.779,30161,23/05/2020 11:05,13/06/2020 09:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.76931029,617.5672931,612.3191487,5.758882878,404.2713336,0.156139955,5.396361647,69.60565015,0,0,2.219864258,0.346934717,9.800665854,1.548366066,32616.6579,1.486727452,15.12746886,0.85269147,159.4568167,0,32.76894915,109.8599445,187.6945726,1339.917109,3.784817906,48.80391255,143.5000984
D_B8 10 10 1 S19,D_B8,D,B,10,1,10,S19,563863.5782,5705828.141,31488,29/04/2019 12:00,21/05/2019 08:48,0,0,1,2,2,0,0,0,0,5,3,0,0,4.573170732,9.146341463,9.146341463,0,0,0,0,22.86585366,13.7195122,201.5037681,249.5786177,395.0063503,5.125654742,494.1291515,1.709307674,4.065121081,64.90823802,0.553266622,2.86728567,2.151237284,0.028032743,10.86262884,1.779796582,44096.29634,16.77457616,48.5065673,42.11260175,455.1135341,0,0.293631334,23.65462636,215.5321192,1147.492317,3.273970261,9.404927888,80.24692153
D_B8 47 38 2 S20,D_B8,D,B,47,2,38,S20,563885.7758,5706008.555,28634,23/05/2020 15:35,12/06/2020 12:49,0,0,0,0,1,0,0,4,0,5,5,0,0,0,0,5.02898652,0,0,20.11594608,0,25.1449326,25.1449326,162.2623435,164.6802455,475.7920123,2.655477888,517.0125906,1.803735539,4.684557699,67.82357859,0.099115541,1.555859457,2.433062978,0,10.71731649,1.48551185,44393.28563,11.9519025,48.38789992,50.67585023,514.1147811,0,0,23.39643002,214.2774193,1073.924134,3.840718854,8.491904452,80.7068335
D_E1 44 31 3 S20,D_E1,D,E,44,3,31,S20,564647.5139,5706096.034,25588,14/06/2020 16:42,02/07/2020 11:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.9609502,522.0676483,410.8475171,0,426.8991943,0.547034498,0.062508722,72.07624985,0.626630102,0,2.7542726,0.304854336,7.314799073,1.062360632,51494.70791,2.463454105,46.33558829,8.127725112,612.4754617,0,0,23.65462636,257.8934584,1005.041963,0.062508722,18.41525682,98.90910621
