StartDate,EndDate,Consent,Gender,Carnism_1,Carnism_2,Carnism_3,Carnism_4,Carnism_5,Carnism_6,Carnism_7,Carnism_8,Politics_1,Condition,Taste1,Taste2,Taste3,Taste4,Age,Race,Education,Income
11/19/20 13:09,11/19/20 13:09,1,1,5,5,5,5,7,3,5,3,2,2,5,4,4,3,29,1,3,3
11/19/20 13:09,11/19/20 13:10,1,1,6,6,6,4,4,4,4,4,4,2,4,4,4,4,42,1,4,1
11/19/20 13:09,11/19/20 13:11,1,2,2,2,4,7,1,1,1,1,1,2,4,4,4,4,28,1,2,2
11/19/20 13:09,11/19/20 13:11,1,2,7,7,7,5,3,4,4,2,7,1,7,7,7,7,35,1,6,2
11/19/20 13:09,11/19/20 13:11,1,1,7,7,7,1,1,1,1,1,6,1,7,7,7,7,47,1,5,3
11/19/20 13:09,11/19/20 13:11,1,1,3,3,5,6,2,1,1,2,2,1,5,5,4,4,32,1,5,3
11/19/20 13:09,11/19/20 13:11,1,1,3,2,4,6,1,1,1,2,2,1,5,5,4,5,39,1,5,1
11/19/20 13:09,11/19/20 13:12,1,2,5,6,3,7,2,1,3,4,3,2,3,4,2,2,29,1,5,2
11/19/20 13:10,11/19/20 13:12,1,2,7,7,7,6,4,1,3,5,6,2,2,2,1,1,60,1,5,3
11/19/20 13:10,11/19/20 13:12,1,2,1,1,2,7,1,1,1,1,1,2,6,6,5,5,46,1,3,2
11/19/20 13:10,11/19/20 13:12,1,2,7,7,7,1,1,4,7,4,7,2,1,1,1,1,37,1,3,2
11/19/20 13:10,11/19/20 13:12,1,2,4,6,6,1,1,1,2,2,6,2,1,1,1,1,39,1,6,4
11/19/20 13:09,11/19/20 13:12,1,2,2,3,3,6,1,1,1,1,2,2,3,3,2,3,57,1,5,3
11/19/20 13:11,11/19/20 13:12,1,1,7,7,7,5,5,6,3,2,6,2,1,1,1,1,24,1,5,3
11/19/20 13:09,11/19/20 13:12,1,1,6,2,2,6,2,2,2,2,5,2,3,3,4,3,61,1,2,1
11/19/20 13:10,11/19/20 13:12,1,1,3,2,5,6,1,1,1,1,2,2,6,6,4,5,37,4,3,5
11/19/20 13:09,11/19/20 13:12,1,1,4,2,5,5,1,1,1,1,1,1,6,6,6,6,50,1,3,1
11/19/20 13:09,11/19/20 13:12,1,1,5,5,6,4,4,3,4,3,2,1,7,7,7,7,40,4,5,3
11/19/20 13:09,11/19/20 13:12,1,1,4,4,7,7,5,1,1,1,1,1,7,7,7,7,31,3,4,2
11/19/20 13:09,11/19/20 13:13,1,2,1,1,2,7,1,1,1,1,2,1,6,6,6,6,55,1,6,6
11/19/20 13:10,11/19/20 13:13,1,1,5,4,6,7,1,1,1,1,2,2,3,3,4,3,24,4,3,3
11/19/20 13:11,11/19/20 13:13,1,1,5,3,6,6,2,2,4,2,5,2,4,4,3,3,38,1,5,3
11/19/20 13:10,11/19/20 13:13,1,1,7,7,7,5,2,4,5,1,7,1,7,7,7,7,37,1,3,2
11/19/20 13:10,11/19/20 13:13,1,1,7,6,7,5,4,4,4,1,7,1,7,7,7,7,41,1,4,3
11/19/20 13:10,11/19/20 13:14,1,2,1,1,3,7,1,1,1,1,3,2,4,4,4,4,45,1,5,6
11/19/20 13:10,11/19/20 13:14,1,2,4,4,5,6,2,2,2,2,5,2,4,4,3,3,33,1,5,4
